barcode	miRNA id	value
TCGA-08-0521-01A-01T-0283-07	ebv-miR-BART1-3p	5.80113915560837
TCGA-08-0521-01A-01T-0283-07	ebv-miR-BART1-5p	5.76435540441723
TCGA-08-0521-01A-01T-0283-07	ebv-miR-BART10	5.83570384595343
TCGA-08-0521-01A-01T-0283-07	ebv-miR-BART11-3p	5.90953314705851
TCGA-08-0521-01A-01T-0283-07	ebv-miR-BART11-5p	5.72784238794337
TCGA-08-0521-01A-01T-0283-07	ebv-miR-BART12	5.88824226099519
TCGA-08-0521-01A-01T-0283-07	ebv-miR-BART13	7.90923445219671
TCGA-08-0521-01A-01T-0283-07	ebv-miR-BART14-3p	5.84804554520473
TCGA-08-0521-01A-01T-0283-07	ebv-miR-BART14-5p	5.80032018237916
TCGA-08-0521-01A-01T-0283-07	ebv-miR-BART15	5.75994734935604
TCGA-08-0521-01A-01T-0283-07	ebv-miR-BART16	5.85119388560006
TCGA-08-0521-01A-01T-0283-07	ebv-miR-BART17-3p	5.77697661128907
TCGA-08-0521-01A-01T-0283-07	ebv-miR-BART17-5p	5.84293912639575
TCGA-08-0521-01A-01T-0283-07	ebv-miR-BART18	5.73155891602768
TCGA-08-0521-01A-01T-0283-07	ebv-miR-BART19	8.28170639956859
TCGA-08-0521-01A-01T-0283-07	ebv-miR-BART2	5.78953795105406
TCGA-08-0521-01A-01T-0283-07	ebv-miR-BART20-3p	5.7855948235127
TCGA-08-0521-01A-01T-0283-07	ebv-miR-BART20-5p	5.72350223523489
TCGA-08-0521-01A-01T-0283-07	ebv-miR-BART3-3p	5.7948211315158
TCGA-08-0521-01A-01T-0283-07	ebv-miR-BART3-5p	5.78849634070423
TCGA-08-0521-01A-01T-0283-07	ebv-miR-BART4	5.83642540608025
TCGA-08-0521-01A-01T-0283-07	ebv-miR-BART5	5.7469116192128
TCGA-08-0521-01A-01T-0283-07	ebv-miR-BART6-3p	5.72121732922499
TCGA-08-0521-01A-01T-0283-07	ebv-miR-BART6-5p	5.79897517673728
TCGA-08-0521-01A-01T-0283-07	ebv-miR-BART7	6.44267532462085
TCGA-08-0521-01A-01T-0283-07	ebv-miR-BART8-3p	5.99236248746219
TCGA-08-0521-01A-01T-0283-07	ebv-miR-BART8-5p	5.73757725470364
TCGA-08-0521-01A-01T-0283-07	ebv-miR-BART9	5.7912716486252
TCGA-08-0521-01A-01T-0283-07	ebv-miR-BHRF1-1	5.90256223195636
TCGA-08-0521-01A-01T-0283-07	ebv-miR-BHRF1-2	5.76233452164364
TCGA-08-0521-01A-01T-0283-07	ebv-miR-BHRF1-2*	5.86239817053997
TCGA-08-0521-01A-01T-0283-07	ebv-miR-BHRF1-3	5.71506147826008
TCGA-08-0521-01A-01T-0283-07	hcmv-miR-UL112	5.75398168415304
TCGA-08-0521-01A-01T-0283-07	hcmv-miR-UL148D	6.02154677256305
TCGA-08-0521-01A-01T-0283-07	hcmv-miR-UL22A	5.96299969812625
TCGA-08-0521-01A-01T-0283-07	hcmv-miR-UL22A*	5.73315699122058
TCGA-08-0521-01A-01T-0283-07	hcmv-miR-UL36	6.76667354069908
TCGA-08-0521-01A-01T-0283-07	hcmv-miR-UL70-3p	6.74245311794229
TCGA-08-0521-01A-01T-0283-07	hcmv-miR-UL70-5p	6.00921509596763
TCGA-08-0521-01A-01T-0283-07	hcmv-miR-US25-1	5.98832037985484
TCGA-08-0521-01A-01T-0283-07	hcmv-miR-US25-2-3p	5.72982538163780
TCGA-08-0521-01A-01T-0283-07	hcmv-miR-US25-2-5p	6.20557977355948
TCGA-08-0521-01A-01T-0283-07	hcmv-miR-US33	6.73967538319746
TCGA-08-0521-01A-01T-0283-07	hcmv-miR-US4	6.64637649607554
TCGA-08-0521-01A-01T-0283-07	hcmv-miR-US5-1	5.84872383607628
TCGA-08-0521-01A-01T-0283-07	hcmv-miR-US5-2	5.71916772008332
TCGA-08-0521-01A-01T-0283-07	hsa-let-7a	14.3874997420099
TCGA-08-0521-01A-01T-0283-07	hsa-let-7b	14.1979603794044
TCGA-08-0521-01A-01T-0283-07	hsa-let-7c	12.8454620952042
TCGA-08-0521-01A-01T-0283-07	hsa-let-7d	12.0220588159682
TCGA-08-0521-01A-01T-0283-07	hsa-let-7e	12.1689033906578
TCGA-08-0521-01A-01T-0283-07	hsa-let-7f	12.8410557036071
TCGA-08-0521-01A-01T-0283-07	hsa-let-7g	11.7140100087392
TCGA-08-0521-01A-01T-0283-07	hsa-let-7i	10.702496821735
TCGA-08-0521-01A-01T-0283-07	hsa-miR-1	5.88127246503485
TCGA-08-0521-01A-01T-0283-07	hsa-miR-100	11.7377592113290
TCGA-08-0521-01A-01T-0283-07	hsa-miR-101	10.3420966550505
TCGA-08-0521-01A-01T-0283-07	hsa-miR-103	10.5318937497365
TCGA-08-0521-01A-01T-0283-07	hsa-miR-105	5.76341421403889
TCGA-08-0521-01A-01T-0283-07	hsa-miR-106a	9.76394685329688
TCGA-08-0521-01A-01T-0283-07	hsa-miR-106b	10.1981396455084
TCGA-08-0521-01A-01T-0283-07	hsa-miR-107	11.0360229631393
TCGA-08-0521-01A-01T-0283-07	hsa-miR-10a	7.26468759503845
TCGA-08-0521-01A-01T-0283-07	hsa-miR-10b	6.91809780846121
TCGA-08-0521-01A-01T-0283-07	hsa-miR-122a	5.9339199952392
TCGA-08-0521-01A-01T-0283-07	hsa-miR-124a	9.96721713814924
TCGA-08-0521-01A-01T-0283-07	hsa-miR-125a	10.7214555192293
TCGA-08-0521-01A-01T-0283-07	hsa-miR-125b	13.2640649584702
TCGA-08-0521-01A-01T-0283-07	hsa-miR-126	11.8632083561470
TCGA-08-0521-01A-01T-0283-07	hsa-miR-126*	6.93790116431452
TCGA-08-0521-01A-01T-0283-07	hsa-miR-127	8.19994456112798
TCGA-08-0521-01A-01T-0283-07	hsa-miR-128a	7.07447561369141
TCGA-08-0521-01A-01T-0283-07	hsa-miR-128b	7.45164201477107
TCGA-08-0521-01A-01T-0283-07	hsa-miR-129	7.22134872380965
TCGA-08-0521-01A-01T-0283-07	hsa-miR-130a	11.2610884526181
TCGA-08-0521-01A-01T-0283-07	hsa-miR-130b	7.87708153429493
TCGA-08-0521-01A-01T-0283-07	hsa-miR-132	8.66504427639213
TCGA-08-0521-01A-01T-0283-07	hsa-miR-133a	5.97287020646091
TCGA-08-0521-01A-01T-0283-07	hsa-miR-133b	6.09837380170293
TCGA-08-0521-01A-01T-0283-07	hsa-miR-134	6.98335194353387
TCGA-08-0521-01A-01T-0283-07	hsa-miR-135a	6.04948879744948
TCGA-08-0521-01A-01T-0283-07	hsa-miR-135b	6.67609443339733
TCGA-08-0521-01A-01T-0283-07	hsa-miR-136	8.3891226937883
TCGA-08-0521-01A-01T-0283-07	hsa-miR-137	6.83887421426596
TCGA-08-0521-01A-01T-0283-07	hsa-miR-138	6.4162760388022
TCGA-08-0521-01A-01T-0283-07	hsa-miR-139	6.77430270605746
TCGA-08-0521-01A-01T-0283-07	hsa-miR-140	8.6173472962273
TCGA-08-0521-01A-01T-0283-07	hsa-miR-141	6.31881763594593
TCGA-08-0521-01A-01T-0283-07	hsa-miR-142-3p	9.98397013841836
TCGA-08-0521-01A-01T-0283-07	hsa-miR-142-5p	7.98827183314122
TCGA-08-0521-01A-01T-0283-07	hsa-miR-143	9.57817733245519
TCGA-08-0521-01A-01T-0283-07	hsa-miR-144	7.55370719124476
TCGA-08-0521-01A-01T-0283-07	hsa-miR-145	9.9494414623369
TCGA-08-0521-01A-01T-0283-07	hsa-miR-146a	7.04493046500738
TCGA-08-0521-01A-01T-0283-07	hsa-miR-146b	8.33140851224914
TCGA-08-0521-01A-01T-0283-07	hsa-miR-147	5.80854675757768
TCGA-08-0521-01A-01T-0283-07	hsa-miR-148a	8.4813513885568
TCGA-08-0521-01A-01T-0283-07	hsa-miR-148b	7.40432010413074
TCGA-08-0521-01A-01T-0283-07	hsa-miR-149	9.48928337512516
TCGA-08-0521-01A-01T-0283-07	hsa-miR-150	6.20791238554127
TCGA-08-0521-01A-01T-0283-07	hsa-miR-151	7.9760975347279
TCGA-08-0521-01A-01T-0283-07	hsa-miR-152	7.85240445089595
TCGA-08-0521-01A-01T-0283-07	hsa-miR-153	5.84099721913501
TCGA-08-0521-01A-01T-0283-07	hsa-miR-154	6.48509127227789
TCGA-08-0521-01A-01T-0283-07	hsa-miR-154*	6.59079971941644
TCGA-08-0521-01A-01T-0283-07	hsa-miR-155	10.2803271621498
TCGA-08-0521-01A-01T-0283-07	hsa-miR-15a	9.6709221326688
TCGA-08-0521-01A-01T-0283-07	hsa-miR-15b	10.8512477418294
TCGA-08-0521-01A-01T-0283-07	hsa-miR-16	11.5571794429194
TCGA-08-0521-01A-01T-0283-07	hsa-miR-17-3p	7.59987882920144
TCGA-08-0521-01A-01T-0283-07	hsa-miR-17-5p	8.87573469424744
TCGA-08-0521-01A-01T-0283-07	hsa-miR-181a	9.3762326330827
TCGA-08-0521-01A-01T-0283-07	hsa-miR-181a*	6.77311996534874
TCGA-08-0521-01A-01T-0283-07	hsa-miR-181b	9.44915325294936
TCGA-08-0521-01A-01T-0283-07	hsa-miR-181c	7.9294567341329
TCGA-08-0521-01A-01T-0283-07	hsa-miR-181d	8.4601933065409
TCGA-08-0521-01A-01T-0283-07	hsa-miR-182	6.90303115178724
TCGA-08-0521-01A-01T-0283-07	hsa-miR-182*	6.01719188261316
TCGA-08-0521-01A-01T-0283-07	hsa-miR-183	5.95187867677883
