barcode	gene symbol	value
TCGA-02-0326-01A-01R-0282-07	15E1.2	-1.468
TCGA-02-0326-01A-01R-0282-07	2'-PDE	-0.4301
TCGA-02-0326-01A-01R-0282-07	7A5	-0.794666666666667
TCGA-02-0326-01A-01R-0282-07	A1BG	0.80225
TCGA-02-0326-01A-01R-0282-07	A2BP1	2.20325
TCGA-02-0326-01A-01R-0282-07	A2M	2.439
TCGA-02-0326-01A-01R-0282-07	A2ML1	1.83233333333333
TCGA-02-0326-01A-01R-0282-07	A3GALT2	0.113
TCGA-02-0326-01A-01R-0282-07	A4GALT	-0.014625
TCGA-02-0326-01A-01R-0282-07	A4GNT	0.0816666666666667
TCGA-02-0326-01A-01R-0282-07	AAAS	0.4376
TCGA-02-0326-01A-01R-0282-07	AACS	-1.6634
TCGA-02-0326-01A-01R-0282-07	AADAC	0.4588
TCGA-02-0326-01A-01R-0282-07	AADACL1	0.7234
TCGA-02-0326-01A-01R-0282-07	AADACL2	-0.0946
TCGA-02-0326-01A-01R-0282-07	AADACL3	0.559666666666667
TCGA-02-0326-01A-01R-0282-07	AADACL4	-0.988333333333333
TCGA-02-0326-01A-01R-0282-07	AADAT	0.0835
TCGA-02-0326-01A-01R-0282-07	AAK1	0.6124375
TCGA-02-0326-01A-01R-0282-07	AAMP	-1.1716
TCGA-02-0326-01A-01R-0282-07	AANAT	0.621
TCGA-02-0326-01A-01R-0282-07	AARS	-1.113
TCGA-02-0326-01A-01R-0282-07	AARS2	0.329875
TCGA-02-0326-01A-01R-0282-07	AARSD1	-0.7466
TCGA-02-0326-01A-01R-0282-07	AASDH	0.0236666666666666
TCGA-02-0326-01A-01R-0282-07	AASDHPPT	-1.30353846153846
TCGA-02-0326-01A-01R-0282-07	AASS	1.123
TCGA-02-0326-01A-01R-0282-07	AATF	-0.9447
TCGA-02-0326-01A-01R-0282-07	AATK	1.73507692307692
TCGA-02-0326-01A-01R-0282-07	ABAT	2.01469230769231
TCGA-02-0326-01A-01R-0282-07	ABBA-1	1.28893333333333
TCGA-02-0326-01A-01R-0282-07	ABCA1	1.88775
TCGA-02-0326-01A-01R-0282-07	ABCA10	0.538666666666667
TCGA-02-0326-01A-01R-0282-07	ABCA11	-0.452666666666667
TCGA-02-0326-01A-01R-0282-07	ABCA12	-2.8924
TCGA-02-0326-01A-01R-0282-07	ABCA13	0.725545454545455
TCGA-02-0326-01A-01R-0282-07	ABCA2	0.7098
TCGA-02-0326-01A-01R-0282-07	ABCA3	2.17036363636364
TCGA-02-0326-01A-01R-0282-07	ABCA4	-0.699888888888889
TCGA-02-0326-01A-01R-0282-07	ABCA5	0.8062
TCGA-02-0326-01A-01R-0282-07	ABCA6	1.20576923076923
TCGA-02-0326-01A-01R-0282-07	ABCA7	-1.289
TCGA-02-0326-01A-01R-0282-07	ABCA8	1.157
TCGA-02-0326-01A-01R-0282-07	ABCA9	1.48816666666667
TCGA-02-0326-01A-01R-0282-07	ABCB1	1.26572727272727
TCGA-02-0326-01A-01R-0282-07	ABCB10	-2.134
TCGA-02-0326-01A-01R-0282-07	ABCB11	0.424666666666667
TCGA-02-0326-01A-01R-0282-07	ABCB4	0.0722
TCGA-02-0326-01A-01R-0282-07	ABCB5	0.173333333333333
TCGA-02-0326-01A-01R-0282-07	ABCB6	0.440615384615385
TCGA-02-0326-01A-01R-0282-07	ABCB7	-0.2452
TCGA-02-0326-01A-01R-0282-07	ABCB8	-0.101375
TCGA-02-0326-01A-01R-0282-07	ABCB9	0.724125
TCGA-02-0326-01A-01R-0282-07	ABCC1	-2.547375
TCGA-02-0326-01A-01R-0282-07	ABCC10	-0.1986
TCGA-02-0326-01A-01R-0282-07	ABCC11	-0.01525
TCGA-02-0326-01A-01R-0282-07	ABCC12	0.162625
TCGA-02-0326-01A-01R-0282-07	ABCC13	0.046625
TCGA-02-0326-01A-01R-0282-07	ABCC2	-3.01533333333333
TCGA-02-0326-01A-01R-0282-07	ABCC3	2.883
