barcode	gene symbol	value
TCGA-14-0740-01B-01R-1847-07	15E1.2	-0.7426
TCGA-14-0740-01B-01R-1847-07	2'-PDE	-0.1309
TCGA-14-0740-01B-01R-1847-07	7A5	-2.946
TCGA-14-0740-01B-01R-1847-07	A1BG	1.450625
TCGA-14-0740-01B-01R-1847-07	A2BP1	2.110375
TCGA-14-0740-01B-01R-1847-07	A2M	2.9884
TCGA-14-0740-01B-01R-1847-07	A2ML1	1.124
TCGA-14-0740-01B-01R-1847-07	A3GALT2	-0.1886
TCGA-14-0740-01B-01R-1847-07	A4GALT	-1.57875
TCGA-14-0740-01B-01R-1847-07	A4GNT	0.788666666666667
TCGA-14-0740-01B-01R-1847-07	AAAS	-0.8402
TCGA-14-0740-01B-01R-1847-07	AACS	-1.1216
TCGA-14-0740-01B-01R-1847-07	AADAC	-0.966
TCGA-14-0740-01B-01R-1847-07	AADACL1	-1.64
TCGA-14-0740-01B-01R-1847-07	AADACL2	-0.24625
TCGA-14-0740-01B-01R-1847-07	AADACL3	0.578
TCGA-14-0740-01B-01R-1847-07	AADACL4	-0.06
TCGA-14-0740-01B-01R-1847-07	AADAT	0.8046
TCGA-14-0740-01B-01R-1847-07	AAK1	0.236066666666667
TCGA-14-0740-01B-01R-1847-07	AAMP	-0.4188
TCGA-14-0740-01B-01R-1847-07	AANAT	0.351666666666667
TCGA-14-0740-01B-01R-1847-07	AARS	-0.444375
TCGA-14-0740-01B-01R-1847-07	AARS2	-0.09725
TCGA-14-0740-01B-01R-1847-07	AARSD1	-0.6079
TCGA-14-0740-01B-01R-1847-07	AASDH	0.365888888888889
TCGA-14-0740-01B-01R-1847-07	AASDHPPT	0.463769230769231
TCGA-14-0740-01B-01R-1847-07	AASS	1.58
TCGA-14-0740-01B-01R-1847-07	AATF	-0.1868
TCGA-14-0740-01B-01R-1847-07	AATK	0.628230769230769
TCGA-14-0740-01B-01R-1847-07	ABAT	1.55823076923077
TCGA-14-0740-01B-01R-1847-07	ABBA-1	0.798466666666666
TCGA-14-0740-01B-01R-1847-07	ABCA1	0.768
TCGA-14-0740-01B-01R-1847-07	ABCA10	-0.622
TCGA-14-0740-01B-01R-1847-07	ABCA11	0.190333333333333
TCGA-14-0740-01B-01R-1847-07	ABCA12	-3.3508
TCGA-14-0740-01B-01R-1847-07	ABCA13	0.0258
TCGA-14-0740-01B-01R-1847-07	ABCA2	-0.7432
TCGA-14-0740-01B-01R-1847-07	ABCA3	1.86009090909091
TCGA-14-0740-01B-01R-1847-07	ABCA4	-2.138
TCGA-14-0740-01B-01R-1847-07	ABCA5	-2.5672
TCGA-14-0740-01B-01R-1847-07	ABCA6	0.223692307692308
TCGA-14-0740-01B-01R-1847-07	ABCA7	-2.6722
TCGA-14-0740-01B-01R-1847-07	ABCA8	0.6926
TCGA-14-0740-01B-01R-1847-07	ABCA9	0.850333333333333
TCGA-14-0740-01B-01R-1847-07	ABCB1	0.564
TCGA-14-0740-01B-01R-1847-07	ABCB10	-1.03025
TCGA-14-0740-01B-01R-1847-07	ABCB11	-0.535333333333333
TCGA-14-0740-01B-01R-1847-07	ABCB4	0.6472
TCGA-14-0740-01B-01R-1847-07	ABCB5	-1.066
TCGA-14-0740-01B-01R-1847-07	ABCB6	0.299769230769231
TCGA-14-0740-01B-01R-1847-07	ABCB7	0.0548
TCGA-14-0740-01B-01R-1847-07	ABCB8	-0.658375
TCGA-14-0740-01B-01R-1847-07	ABCB9	-0.54925
TCGA-14-0740-01B-01R-1847-07	ABCC1	-2.1575
TCGA-14-0740-01B-01R-1847-07	ABCC10	-1.8224
TCGA-14-0740-01B-01R-1847-07	ABCC11	-0.086875
TCGA-14-0740-01B-01R-1847-07	ABCC12	2.11485714285714
TCGA-14-0740-01B-01R-1847-07	ABCC13	-0.00975000000000004
TCGA-14-0740-01B-01R-1847-07	ABCC2	-5.79688888888889
TCGA-14-0740-01B-01R-1847-07	ABCC3	-2.60372727272727
TCGA-14-0740-01B-01R-1847-07	ABCC4	-1.6712
TCGA-14-0740-01B-01R-1847-07	ABCC5	-0.2572
TCGA-14-0740-01B-01R-1847-07	ABCC6	-1.96122222222222
TCGA-14-0740-01B-01R-1847-07	ABCC8	2.5068
TCGA-14-0740-01B-01R-1847-07	ABCC9	0.180636363636364
TCGA-14-0740-01B-01R-1847-07	ABCD1	-1.40033333333333
TCGA-14-0740-01B-01R-1847-07	ABCD2	0.1518
TCGA-14-0740-01B-01R-1847-07	ABCD3	0.643642857142857
TCGA-14-0740-01B-01R-1847-07	ABCD4	0.922625
TCGA-14-0740-01B-01R-1847-07	ABCE1	0.2632
TCGA-14-0740-01B-01R-1847-07	ABCF1	0.322
TCGA-14-0740-01B-01R-1847-07	ABCF2	-0.476909090909091
TCGA-14-0740-01B-01R-1847-07	ABCF3	0.129375
TCGA-14-0740-01B-01R-1847-07	ABCG1	0.0226666666666667
TCGA-14-0740-01B-01R-1847-07	ABCG2	-0.4276
TCGA-14-0740-01B-01R-1847-07	ABCG4	1.90683333333333
TCGA-14-0740-01B-01R-1847-07	ABCG5	-4.6638
TCGA-14-0740-01B-01R-1847-07	ABCG8	null
TCGA-14-0740-01B-01R-1847-07	ABHD1	0.9688
TCGA-14-0740-01B-01R-1847-07	ABHD10	0.751
TCGA-14-0740-01B-01R-1847-07	ABHD11	-1.49107692307692
TCGA-14-0740-01B-01R-1847-07	ABHD12	0.157384615384615
TCGA-14-0740-01B-01R-1847-07	ABHD12B	-2.4116
TCGA-14-0740-01B-01R-1847-07	ABHD13	-0.414
TCGA-14-0740-01B-01R-1847-07	ABHD14A	0.7832
TCGA-14-0740-01B-01R-1847-07	ABHD14B	-1.6027
TCGA-14-0740-01B-01R-1847-07	ABHD2	-0.11575
TCGA-14-0740-01B-01R-1847-07	ABHD3	-0.3572
TCGA-14-0740-01B-01R-1847-07	ABHD4	0.5718
TCGA-14-0740-01B-01R-1847-07	ABHD5	-1.1406
TCGA-14-0740-01B-01R-1847-07	ABHD6	1.5852
TCGA-14-0740-01B-01R-1847-07	ABHD7	1.4252
TCGA-14-0740-01B-01R-1847-07	ABHD8	-0.7792
TCGA-14-0740-01B-01R-1847-07	ABHD9	0.0183333333333333
TCGA-14-0740-01B-01R-1847-07	ABI1	0.0705
TCGA-14-0740-01B-01R-1847-07	ABI2	1.320375
TCGA-14-0740-01B-01R-1847-07	ABI3	2.2046
TCGA-14-0740-01B-01R-1847-07	ABI3BP	-1.2732
TCGA-14-0740-01B-01R-1847-07	ABL1	-0.62484
TCGA-14-0740-01B-01R-1847-07	ABL2	-0.445866666666667
TCGA-14-0740-01B-01R-1847-07	ABLIM1	-0.299
TCGA-14-0740-01B-01R-1847-07	ABLIM2	0.6468
TCGA-14-0740-01B-01R-1847-07	ABLIM3	-0.708769230769231
TCGA-14-0740-01B-01R-1847-07	ABO	-0.28875
TCGA-14-0740-01B-01R-1847-07	ABP1	-0.402636363636364
TCGA-14-0740-01B-01R-1847-07	ABR	1.0204
TCGA-14-0740-01B-01R-1847-07	ABRA	0.841
TCGA-14-0740-01B-01R-1847-07	ABT1	-0.3456
TCGA-14-0740-01B-01R-1847-07	ABTB1	-0.2795
TCGA-14-0740-01B-01R-1847-07	ABTB2	-0.5198
TCGA-14-0740-01B-01R-1847-07	ACAA1	0.513846153846154
TCGA-14-0740-01B-01R-1847-07	ACAA2	0.532909090909091
TCGA-14-0740-01B-01R-1847-07	ACACA	0.285
TCGA-14-0740-01B-01R-1847-07	ACACB	-0.3834
TCGA-14-0740-01B-01R-1847-07	ACAD10	-0.746
TCGA-14-0740-01B-01R-1847-07	ACAD11	0.635642857142857
TCGA-14-0740-01B-01R-1847-07	ACAD8	1.6478
TCGA-14-0740-01B-01R-1847-07	ACAD9	-0.687
TCGA-14-0740-01B-01R-1847-07	ACADL	0.010125
TCGA-14-0740-01B-01R-1847-07	ACADM	-0.0643636363636364
TCGA-14-0740-01B-01R-1847-07	ACADS	-1.5825
TCGA-14-0740-01B-01R-1847-07	ACADSB	-1.241875
TCGA-14-0740-01B-01R-1847-07	ACADVL	-0.692875
TCGA-14-0740-01B-01R-1847-07	ACAN	4.16566666666667
TCGA-14-0740-01B-01R-1847-07	ACAT1	-0.682
TCGA-14-0740-01B-01R-1847-07	ACBD3	0.0583076923076923
TCGA-14-0740-01B-01R-1847-07	ACBD4	-0.556090909090909
TCGA-14-0740-01B-01R-1847-07	ACBD5	0.6721
TCGA-14-0740-01B-01R-1847-07	ACBD6	-0.2224
TCGA-14-0740-01B-01R-1847-07	ACCN1	1.226875
TCGA-14-0740-01B-01R-1847-07	ACCN2	1.1608
TCGA-14-0740-01B-01R-1847-07	ACCN3	-1.522
TCGA-14-0740-01B-01R-1847-07	ACCN4	2.269
TCGA-14-0740-01B-01R-1847-07	ACCN5	-0.4845
TCGA-14-0740-01B-01R-1847-07	ACD	-0.17
TCGA-14-0740-01B-01R-1847-07	ACE	0.1105
TCGA-14-0740-01B-01R-1847-07	ACE2	-1.2156
TCGA-14-0740-01B-01R-1847-07	ACF	-3.3512
TCGA-14-0740-01B-01R-1847-07	ACHE	0.4145
TCGA-14-0740-01B-01R-1847-07	ACIN1	-0.1895
TCGA-14-0740-01B-01R-1847-07	ACLY	0.314454545454545
TCGA-14-0740-01B-01R-1847-07	ACMSD	-1.167
TCGA-14-0740-01B-01R-1847-07	ACN9	0.8444
TCGA-14-0740-01B-01R-1847-07	ACO1	-1.67025
TCGA-14-0740-01B-01R-1847-07	ACOT11	-0.288
TCGA-14-0740-01B-01R-1847-07	ACOT12	0.5066
TCGA-14-0740-01B-01R-1847-07	ACOT2	-0.0115
TCGA-14-0740-01B-01R-1847-07	ACOT4	-1.0478
TCGA-14-0740-01B-01R-1847-07	ACOT6	1.036
TCGA-14-0740-01B-01R-1847-07	ACOT7	-1.38954545454545
TCGA-14-0740-01B-01R-1847-07	ACOT8	-0.0176
TCGA-14-0740-01B-01R-1847-07	ACOT9	-0.730875
TCGA-14-0740-01B-01R-1847-07	ACOX1	0.607357142857143
TCGA-14-0740-01B-01R-1847-07	ACOX2	-0.837125
TCGA-14-0740-01B-01R-1847-07	ACOX3	0.645818181818182
TCGA-14-0740-01B-01R-1847-07	ACP1	-0.842
TCGA-14-0740-01B-01R-1847-07	ACP2	-1.34316666666667
TCGA-14-0740-01B-01R-1847-07	ACP5	-2.2435
TCGA-14-0740-01B-01R-1847-07	ACP6	-2.078
TCGA-14-0740-01B-01R-1847-07	ACPL2	1.606
TCGA-14-0740-01B-01R-1847-07	ACPP	-0.922333333333333
TCGA-14-0740-01B-01R-1847-07	ACPT	0.207375
TCGA-14-0740-01B-01R-1847-07	ACR	0.889076923076923
TCGA-14-0740-01B-01R-1847-07	ACRBP	-3.1004
TCGA-14-0740-01B-01R-1847-07	ACRC	1.0552
TCGA-14-0740-01B-01R-1847-07	ACRV1	2.698625
