barcode	gene symbol	value
TCGA-28-2509-01A-01R-0791-07	15E1.2	-0.8746
TCGA-28-2509-01A-01R-0791-07	2'-PDE	0.53445
TCGA-28-2509-01A-01R-0791-07	7A5	-1.202
TCGA-28-2509-01A-01R-0791-07	A1BG	1.43625
TCGA-28-2509-01A-01R-0791-07	A2BP1	-1.14475
TCGA-28-2509-01A-01R-0791-07	A2M	1.9644
TCGA-28-2509-01A-01R-0791-07	A2ML1	2.378
TCGA-28-2509-01A-01R-0791-07	A3GALT2	0.103
TCGA-28-2509-01A-01R-0791-07	A4GALT	-1.714
TCGA-28-2509-01A-01R-0791-07	A4GNT	-0.00466666666666667
TCGA-28-2509-01A-01R-0791-07	AAAS	-1.2154
TCGA-28-2509-01A-01R-0791-07	AACS	-1.346
TCGA-28-2509-01A-01R-0791-07	AADAC	-0.4716
TCGA-28-2509-01A-01R-0791-07	AADACL1	0.66
TCGA-28-2509-01A-01R-0791-07	AADACL2	-0.1428
TCGA-28-2509-01A-01R-0791-07	AADACL3	0.471666666666667
TCGA-28-2509-01A-01R-0791-07	AADACL4	-0.361333333333333
TCGA-28-2509-01A-01R-0791-07	AADAT	0.7434
TCGA-28-2509-01A-01R-0791-07	AAK1	0.216764705882353
TCGA-28-2509-01A-01R-0791-07	AAMP	-1.3124
TCGA-28-2509-01A-01R-0791-07	AANAT	0.565666666666667
TCGA-28-2509-01A-01R-0791-07	AARS	-1.3315
TCGA-28-2509-01A-01R-0791-07	AARS2	-0.77475
TCGA-28-2509-01A-01R-0791-07	AARSD1	-1.1941
TCGA-28-2509-01A-01R-0791-07	AASDH	0.808545454545455
TCGA-28-2509-01A-01R-0791-07	AASDHPPT	-0.274923076923077
TCGA-28-2509-01A-01R-0791-07	AASS	0.5172
TCGA-28-2509-01A-01R-0791-07	AATF	-1.301
TCGA-28-2509-01A-01R-0791-07	AATK	-1.03776923076923
TCGA-28-2509-01A-01R-0791-07	ABAT	2.01938461538462
TCGA-28-2509-01A-01R-0791-07	ABBA-1	0.9242
TCGA-28-2509-01A-01R-0791-07	ABCA1	2.41625
TCGA-28-2509-01A-01R-0791-07	ABCA10	-0.0113333333333333
TCGA-28-2509-01A-01R-0791-07	ABCA11	-0.031
TCGA-28-2509-01A-01R-0791-07	ABCA12	-2.9012
TCGA-28-2509-01A-01R-0791-07	ABCA13	0.998818181818182
TCGA-28-2509-01A-01R-0791-07	ABCA2	-0.2172
TCGA-28-2509-01A-01R-0791-07	ABCA3	1.18581818181818
TCGA-28-2509-01A-01R-0791-07	ABCA4	-0.211666666666667
TCGA-28-2509-01A-01R-0791-07	ABCA5	0.4401
TCGA-28-2509-01A-01R-0791-07	ABCA6	1.67769230769231
TCGA-28-2509-01A-01R-0791-07	ABCA7	-2.0768
TCGA-28-2509-01A-01R-0791-07	ABCA8	1.2476
TCGA-28-2509-01A-01R-0791-07	ABCA9	0.643692307692308
TCGA-28-2509-01A-01R-0791-07	ABCB1	-0.720727272727273
TCGA-28-2509-01A-01R-0791-07	ABCB10	-0.70125
TCGA-28-2509-01A-01R-0791-07	ABCB11	0.376
TCGA-28-2509-01A-01R-0791-07	ABCB4	-0.8744
TCGA-28-2509-01A-01R-0791-07	ABCB5	-0.266666666666667
TCGA-28-2509-01A-01R-0791-07	ABCB6	-0.0615384615384615
TCGA-28-2509-01A-01R-0791-07	ABCB7	0.2536
TCGA-28-2509-01A-01R-0791-07	ABCB8	-0.32675
TCGA-28-2509-01A-01R-0791-07	ABCB9	0.65525
TCGA-28-2509-01A-01R-0791-07	ABCC1	-3.04175
TCGA-28-2509-01A-01R-0791-07	ABCC10	-1.6548
TCGA-28-2509-01A-01R-0791-07	ABCC11	-0.622875
TCGA-28-2509-01A-01R-0791-07	ABCC12	0.33
TCGA-28-2509-01A-01R-0791-07	ABCC13	0.196272727272727
TCGA-28-2509-01A-01R-0791-07	ABCC2	-4.63088888888889
TCGA-28-2509-01A-01R-0791-07	ABCC3	1.10036363636364
TCGA-28-2509-01A-01R-0791-07	ABCC4	-1.580875
TCGA-28-2509-01A-01R-0791-07	ABCC5	-0.504266666666667
TCGA-28-2509-01A-01R-0791-07	ABCC6	-1.45194444444444
TCGA-28-2509-01A-01R-0791-07	ABCC8	-0.7486
TCGA-28-2509-01A-01R-0791-07	ABCC9	0.431545454545455
TCGA-28-2509-01A-01R-0791-07	ABCD1	-0.125666666666667
TCGA-28-2509-01A-01R-0791-07	ABCD2	1.09933333333333
TCGA-28-2509-01A-01R-0791-07	ABCD3	0.349428571428571
TCGA-28-2509-01A-01R-0791-07	ABCD4	0.301375
TCGA-28-2509-01A-01R-0791-07	ABCE1	-0.489
TCGA-28-2509-01A-01R-0791-07	ABCF1	-1.17684615384615
TCGA-28-2509-01A-01R-0791-07	ABCF2	-0.789545454545455
TCGA-28-2509-01A-01R-0791-07	ABCF3	-0.514125
TCGA-28-2509-01A-01R-0791-07	ABCG1	0.297
