barcode	gene symbol	value
TCGA-06-2561-01A-02R-0791-07	15E1.2	-1.0142
TCGA-06-2561-01A-02R-0791-07	2'-PDE	0.12265
TCGA-06-2561-01A-02R-0791-07	7A5	-0.968333333333333
TCGA-06-2561-01A-02R-0791-07	A1BG	-0.871375
TCGA-06-2561-01A-02R-0791-07	A2BP1	3.324375
TCGA-06-2561-01A-02R-0791-07	A2M	2.2594
TCGA-06-2561-01A-02R-0791-07	A2ML1	1.63066666666667
TCGA-06-2561-01A-02R-0791-07	A3GALT2	0.1912
TCGA-06-2561-01A-02R-0791-07	A4GALT	-1.099125
TCGA-06-2561-01A-02R-0791-07	A4GNT	-0.0686666666666667
TCGA-06-2561-01A-02R-0791-07	AAAS	-0.244
TCGA-06-2561-01A-02R-0791-07	AACS	-0.6558
TCGA-06-2561-01A-02R-0791-07	AADAC	-0.561
TCGA-06-2561-01A-02R-0791-07	AADACL1	0.4054
TCGA-06-2561-01A-02R-0791-07	AADACL2	-0.3764
TCGA-06-2561-01A-02R-0791-07	AADACL3	0.0993333333333333
TCGA-06-2561-01A-02R-0791-07	AADACL4	-0.208333333333333
TCGA-06-2561-01A-02R-0791-07	AADAT	0.1691
TCGA-06-2561-01A-02R-0791-07	AAK1	0.535352941176471
TCGA-06-2561-01A-02R-0791-07	AAMP	-0.611
TCGA-06-2561-01A-02R-0791-07	AANAT	0.261333333333333
TCGA-06-2561-01A-02R-0791-07	AARS	-1.42775
TCGA-06-2561-01A-02R-0791-07	AARS2	-1.06675
TCGA-06-2561-01A-02R-0791-07	AARSD1	-0.92
TCGA-06-2561-01A-02R-0791-07	AASDH	0.925545454545454
TCGA-06-2561-01A-02R-0791-07	AASDHPPT	0.290615384615385
TCGA-06-2561-01A-02R-0791-07	AASS	1.6092
TCGA-06-2561-01A-02R-0791-07	AATF	-0.7495
TCGA-06-2561-01A-02R-0791-07	AATK	0.291307692307692
TCGA-06-2561-01A-02R-0791-07	ABAT	2.65646153846154
TCGA-06-2561-01A-02R-0791-07	ABBA-1	1.0024
TCGA-06-2561-01A-02R-0791-07	ABCA1	2.284875
TCGA-06-2561-01A-02R-0791-07	ABCA10	-0.279333333333333
TCGA-06-2561-01A-02R-0791-07	ABCA11	-0.306333333333333
TCGA-06-2561-01A-02R-0791-07	ABCA12	-2.7028
TCGA-06-2561-01A-02R-0791-07	ABCA13	1.32427272727273
TCGA-06-2561-01A-02R-0791-07	ABCA2	1.02
TCGA-06-2561-01A-02R-0791-07	ABCA3	2.44263636363636
TCGA-06-2561-01A-02R-0791-07	ABCA4	-1.27244444444444
TCGA-06-2561-01A-02R-0791-07	ABCA5	0.3381
TCGA-06-2561-01A-02R-0791-07	ABCA6	2.35523076923077
TCGA-06-2561-01A-02R-0791-07	ABCA7	-1.5088
TCGA-06-2561-01A-02R-0791-07	ABCA8	2.8236
TCGA-06-2561-01A-02R-0791-07	ABCA9	1.44953846153846
